job_id,num_gpu,submit_time,iterations,model_name,batch_size,duration,interval,iteration_time,resource_time_0,resource_time_1,resource_time_2,priority
0,16,0,4378042,vgg16,16,1453510000,3840000,332,83,68,110,0
1,1,0,5190727,a2c,64,2683606000,13956000,517,514,14,0,1
2,16,0,5086032,bert,4,1240992000,326000,244,0.5,166,86,1
3,8,0,2549624,dqn,128,1297759000,5706000,509,435,8,0.5,1
4,1,0,11859743,vgg19,16,1292712000,17899000,109,114,80,0,1
5,8,0,787236,resnet18,128,795109000,374000,1010,784,117,77,0
6,8,0,1642542,gpt2,4,717791000,23274000,437,0.6,419,49,0
7,8,0,1402111,resnet18,128,1416133000,3675000,1010,784,117,77,0
8,8,0,3604317,vgg16,16,771324000,1519000,214,82,75,66,1
9,8,0,1159407,a2c,64,643471000,11556000,555,502,14,0.4,0
10,8,0,1216483,resnet18,128,1228648000,15068000,1010,784,117,77,0
11,8,0,937883,resnet18,128,947262000,19808000,1010,784,117,77,0
12,8,0,1958137,vgg19,16,442539000,299000,226,82,88,60,0
13,1,0,1069387,dqn,128,524000000,6295000,490,446,8,0,0
14,1,0,1032319,a2c,64,533709000,43000,517,514,14,0,0
15,1,0,5289626,vgg16,16,565990000,26000,107,117,68,0,1
16,1,0,737028,resnet18,128,574145000,20000,779,711,110,0,0
17,1,0,603762,gpt2,4,257203000,127000,426,0.6,410,0,0
18,4,0,190661,vgg16,16,38323000,4000,201,82,72,67,1
19,8,0,453439,shufflenet_v2_x1_0,128,433942000,326000,957,769,57,10,1
20,1,0,30870,gpt2,4,13151000,33000,426,0.6,410,0,0
21,1,0,451740,dqn,128,221353000,192000,490,446,8,0,0
22,4,0,457134,vgg16,16,91884000,66000,201,82,72,67,0
23,4,0,15318,dqn,128,7736000,156000,505,440,8,0.4,1
24,4,0,8847,gpt2,4,3831000,53000,433,0.6,413,20,1
25,4,0,242877,vgg19,16,51490000,48000,212,84,85,73,1
26,1,0,84,gpt2,4,36000,392000,426,0.6,410,0,0
27,1,0,75,gpt2,4,32000,5000,426,0.6,410,0,0
28,1,0,85,dqn,128,42000,243000,490,446,8,0,0
29,8,0,154,vgg16,16,33000,121000,214,82,75,66,1
30,16,0,346959,bert,4,84658000,378000,244,0.5,166,86,1
31,16,0,20893,resnet18,128,22043000,32000,1055,736,108,93,1
32,16,0,40069,vgg16,16,13303000,9000,332,83,68,110,1
33,16,0,83,dqn,128,44000,59000,525,438,8,1.2,1
34,8,0,887080,dqn,128,451524000,374000,509,435,8,0.5,1
35,8,0,2224500,bert,4,427104000,113000,192,0.5,167,59,0
36,8,0,1024649,gpt2,4,447772000,150000,437,0.6,419,49,1
37,8,0,2351156,bert,4,451422000,32000,192,0.5,167,59,1
38,8,0,249302,resnet18,128,251796000,488000,1010,784,117,77,1
39,1,0,330,vgg19,16,36000,148000,109,114,80,0,0
40,1,0,63,dqn,128,31000,3000,490,446,8,0,0
41,1,0,289,vgg16,16,31000,3000,107,117,68,0,0
42,1,0,281,dqn,128,138000,46000,490,446,8,0,1
43,1,0,36,a2c,64,19000,210000,517,514,14,0,1
44,4,0,15155,vgg19,16,3213000,145000,212,84,85,73,1
45,8,0,3925,shufflenet_v2_x1_0,128,3757000,17000,957,769,57,10,1
46,1,0,1792,bert,4,319000,97000,178,0.5,160,0,0
47,1,0,953,a2c,64,493000,12000,517,514,14,0,0
48,1,0,403,vgg19,16,44000,155000,109,114,80,0,1
49,8,0,1103868,dqn,128,561869000,11000,509,435,8,0.5,0
50,1,0,91,dqn,128,45000,168000,490,446,8,0,1
51,8,0,4902,a2c,64,2721000,158000,555,502,14,0.4,1
52,1,0,275,vgg19,16,30000,555000,109,114,80,0,0
53,8,0,909,dqn,128,463000,149000,509,435,8,0.5,1
54,8,0,229274,shufflenet_v2_x1_0,128,219416000,36000,957,769,57,10,0
55,1,0,663,dqn,128,325000,22000,490,446,8,0,0
56,16,0,38,resnet18,128,41000,4000,1055,736,108,93,1
57,16,0,114740,a2c,64,65058000,195000,567,514,14,1.2,1
58,16,0,73484,gpt2,4,36081000,388000,491,0.6,415,137,0
59,16,0,124229,a2c,64,70438000,389000,567,514,14,1.2,0
60,16,0,109730,a2c,64,62217000,51000,567,514,14,1.2,1
61,16,0,443960,vgg16,16,147395000,373000,332,83,68,110,1
62,8,0,339886,dqn,128,173002000,204000,509,435,8,0.5,1
63,8,0,11569,dqn,128,5889000,181000,509,435,8,0.5,0
64,8,0,1757434,vgg16,16,376091000,385000,214,82,75,66,1
65,8,0,747093,a2c,64,414637000,176000,555,502,14,0.4,0
66,4,0,30303,vgg16,16,6091000,11000,201,82,72,67,0
67,1,0,34470,a2c,64,17821000,19000,517,514,14,0,0
68,8,0,92,vgg19,16,21000,26000,226,82,88,60,1
69,1,0,66657,bert,4,11865000,182000,178,0.5,160,0,1
70,4,0,2013,a2c,64,1073000,526000,533,502,10,0.3,0
71,1,0,1028,bert,4,183000,87000,178,0.5,160,0,0
72,1,0,730,bert,4,130000,279000,178,0.5,160,0,0
73,1,0,5401,vgg16,16,578000,198000,107,117,68,0,1
74,4,0,4182,gpt2,4,1811000,335000,433,0.6,413,20,0
75,4,0,9589,vgg19,16,2033000,110000,212,84,85,73,1
76,1,0,158181,dqn,128,77509000,250000,490,446,8,0,1
77,4,0,149593,gpt2,4,64774000,229000,433,0.6,413,20,0
78,1,0,648,dqn,128,318000,246000,490,446,8,0,0
79,1,0,1271,vgg16,16,136000,5000,107,117,68,0,1
80,4,0,178711,gpt2,4,77382000,19000,433,0.6,413,20,1
81,1,0,2302,vgg19,16,251000,155000,109,114,80,0,0
82,1,0,771,dqn,128,378000,6000,490,446,8,0,1
83,1,0,7265,gpt2,4,3095000,94000,426,0.6,410,0,1
84,8,0,161,bert,4,31000,14000,192,0.5,167,59,1
85,1,0,52,a2c,64,27000,105000,517,514,14,0,0
86,1,0,38,resnet18,128,30000,5000,779,711,110,0,1
87,1,0,247,vgg19,16,27000,5000,109,114,80,0,1
88,1,0,242,vgg16,16,26000,320000,107,117,68,0,0
89,8,0,130,vgg16,16,28000,335000,214,82,75,66,1
90,1,0,17420,dqn,128,8536000,107000,490,446,8,0,0
91,4,0,5294,shufflenet_v2_x1_0,128,4691000,78000,886,703,62,17,1
92,1,0,75878,resnet18,128,59109000,34000,779,711,110,0,0
93,1,0,68364,vgg16,16,7315000,39000,107,117,68,0,1
94,1,0,56,a2c,64,29000,50000,517,514,14,0,1
95,4,0,19129,gpt2,4,8283000,35000,433,0.6,413,20,1
96,8,0,9630,vgg16,16,2061000,462000,214,82,75,66,0
97,1,0,100,resnet18,128,78000,204000,779,711,110,0,0
98,1,0,75,gpt2,4,32000,100000,426,0.6,410,0,1
99,1,0,65,gpt2,4,28000,22000,426,0.6,410,0,0
100,1,0,63,gpt2,4,27000,42000,426,0.6,410,0,0
101,1,0,233,vgg16,16,25000,33000,107,117,68,0,0
102,1,0,151,bert,4,27000,19000,178,0.5,160,0,0
103,1,0,2910,bert,4,518000,8000,178,0.5,160,0,1
104,1,0,5338,a2c,64,2760000,25000,517,514,14,0,1
105,1,0,32548,resnet18,128,25355000,6000,779,711,110,0,0
106,8,0,21339,dqn,128,10862000,2000,509,435,8,0.5,1
107,8,0,59433,shufflenet_v2_x1_0,128,56878000,185000,957,769,57,10,1
108,1,0,168,bert,4,30000,300000,178,0.5,160,0,1
109,1,0,70,gpt2,4,30000,57000,426,0.6,410,0,0
110,1,0,37,resnet18,128,29000,39000,779,711,110,0,1
111,1,0,289,vgg16,16,31000,59000,107,117,68,0,0
112,1,0,157,bert,4,28000,6000,178,0.5,160,0,1
113,1,0,211,vgg19,16,23000,15000,109,114,80,0,0
114,1,0,61,dqn,128,30000,116000,490,446,8,0,1
115,1,0,121738,vgg16,16,13026000,79000,107,117,68,0,1
116,1,0,185,bert,4,33000,1000,178,0.5,160,0,1
117,4,0,419,dqn,128,212000,511000,505,440,8,0.4,1
118,1,0,5600,resnet18,128,4363000,19000,779,711,110,0,0
119,16,0,27291,gpt2,4,13400000,270000,491,0.6,415,137,1
120,8,0,57,gpt2,4,25000,114000,437,0.6,419,49,0
121,8,0,10691,vgg16,16,2288000,10000,214,82,75,66,1
122,4,0,65945,vgg16,16,13255000,108000,201,82,72,67,1
123,8,0,4081,resnet18,128,4122000,68000,1010,784,117,77,1
124,4,0,2015,dqn,128,1018000,2000,505,440,8,0.4,1
125,4,0,147,bert,4,28000,91000,190,0.5,163,18,1
126,16,0,21941,a2c,64,12441000,18000,567,514,14,1.2,0
127,4,0,1406,gpt2,4,609000,170000,433,0.6,413,20,1
128,1,0,5109,resnet18,128,3980000,73000,779,711,110,0,0
129,16,0,172,bert,4,42000,119000,244,0.5,166,86,0
130,4,0,5734,dqn,128,2896000,32000,505,440,8,0.4,1
131,4,0,4771,vgg16,16,959000,15000,201,82,72,67,0
132,16,0,92298,vgg19,16,27874000,55000,302,102,78,123,1
133,8,0,599823,dqn,128,305310000,234000,509,435,8,0.5,0
134,4,0,1112,shufflenet_v2_x1_0,128,986000,87000,886,703,62,17,1
135,8,0,734328,dqn,128,373773000,281000,509,435,8,0.5,1
136,8,0,156247,vgg19,16,35312000,67000,226,82,88,60,0
137,1,0,1752,bert,4,312000,86000,178,0.5,160,0,0
138,4,0,88036,resnet18,128,81082000,5000,921,723,113,73,0
139,4,0,153301,vgg19,16,32500000,76000,212,84,85,73,0
140,1,0,28,resnet18,128,22000,176000,779,711,110,0,1
141,1,0,299,vgg16,16,32000,283000,107,117,68,0,1
142,4,0,36680,shufflenet_v2_x1_0,128,32499000,127000,886,703,62,17,1
143,1,0,58,a2c,64,30000,29000,517,514,14,0,0
144,1,0,97092,a2c,64,50197000,321000,517,514,14,0,0
