job_id,num_gpu,submit_time,iterations,model_name,batch_size,duration,interval,iteration_time,resource_time_0,resource_time_1,resource_time_2,priority
0,1,0,5853661,dqn,128,2868294000,46122000,490,446,8,0,1
1,8,0,8787693,dqn,128,4472936000,201694000,509,435,8,0.5,0
2,8,0,20901556,vgg16,16,4472933000,197456000,214,82,75,66,0
3,1,0,3682024,resnet18,128,2868297000,4190000,779,711,110,0,1
4,1,0,25736495,vgg16,16,2753805000,20859000,107,117,68,0,0
5,1,0,6435107,gpt2,4,2741356000,23165000,426,0.6,410,0,1
6,1,0,3518766,resnet18,128,2741119000,222000,779,711,110,0,0
7,1,0,3518766,resnet18,128,2741119000,11000,779,711,110,0,0
8,1,0,5301922,a2c,64,2741094000,38000,517,514,14,0,0
9,8,0,10468336,vgg16,16,2240224000,184437000,214,82,75,66,0
10,1,0,21930289,vgg16,16,2346541000,6295000,107,117,68,0,1
11,1,0,12763286,bert,4,2271865000,26224000,178,0.5,160,0,1
12,1,0,3985516,a2c,64,2060512000,6380000,517,514,14,0,1
13,1,0,2644385,resnet18,128,2059976000,533000,779,711,110,0,0
14,1,0,18898834,vgg19,16,2059973000,5000,109,114,80,0,0
15,1,0,19252018,vgg16,16,2059966000,6000,107,117,68,0,0
16,1,0,18898706,vgg19,16,2059959000,10000,109,114,80,0,0
17,1,0,18898688,vgg19,16,2059957000,6000,109,114,80,0,1
18,1,0,19251906,vgg16,16,2059954000,5000,107,117,68,0,0
19,1,0,16200155,vgg19,16,1765817000,6000,109,114,80,0,1
20,1,0,18898532,vgg19,16,2059940000,16000,109,114,80,0,0
21,1,0,2644332,resnet18,128,2059935000,11000,779,711,110,0,0
22,1,0,4835521,gpt2,4,2059932000,5000,426,0.6,410,0,0
23,1,0,4203930,dqn,128,2059926000,10000,490,446,8,0,1
24,1,0,18898302,vgg19,16,2059915000,12000,109,114,80,0,1
25,1,0,3983990,a2c,64,2059723000,12000,517,514,14,0,0
26,1,0,3984330,a2c,64,2059899000,16000,517,514,14,0,0
