job_id,num_gpu,submit_time,iterations,model_name,batch_size,duration,interval,iteration_time,resource_time_0,resource_time_1,resource_time_2,priority
0,4,0,1007030,resnet18,128,927475000,11174000,921,723,113,73,0
1,4,1456000,2138875,gpt2,4,926133000,1456000,433,0.6,413,20,0
2,4,352430000,649174,shufflenet_v2_x1_0,128,575169000,603000,886,703,62,17,1
3,4,352712000,4435689,bert,4,842781000,282000,190,0.5,163,18,0
4,8,512036000,582,shufflenet_v2_x1_0,128,557000,4000,957,769,57,10,1
5,8,512614000,4439,shufflenet_v2_x1_0,128,4249000,5000,957,769,57,10,0
6,8,517969000,18615,vgg19,16,4207000,137000,226,82,88,60,0
7,8,533527000,9288,gpt2,4,4059000,249000,437,0.6,419,49,0
8,8,542432000,4296,shufflenet_v2_x1_0,128,4112000,146000,957,769,57,10,0
9,8,587545000,3212,vgg19,16,726000,77000,226,82,88,60,1
10,8,589714000,8463,bert,4,1625000,36000,192,0.5,167,59,0
11,8,665494000,4238,vgg16,16,907000,216000,214,82,75,66,1
12,8,665621000,15442,vgg19,16,3490000,127000,226,82,88,60,1
13,8,665969000,23808,vgg16,16,5095000,91000,214,82,75,66,0
14,8,667503000,1243,vgg19,16,281000,28000,226,82,88,60,0
15,8,672781000,585118,gpt2,4,255697000,10000,437,0.6,419,49,0
16,8,672805000,863723,bert,4,165835000,15000,192,0.5,167,59,1
17,8,672834000,65588,gpt2,4,28662000,28000,437,0.6,419,49,1
18,8,672911000,214274,shufflenet_v2_x1_0,128,205061000,3000,957,769,57,10,1
19,8,672933000,966635,vgg16,16,206860000,5000,214,82,75,66,1
20,8,672959000,215819,shufflenet_v2_x1_0,128,206539000,1000,957,769,57,10,0
21,8,673012000,191476,resnet18,128,193391000,18000,1010,784,117,77,0
22,8,673034000,275977,vgg19,16,62371000,22000,226,82,88,60,1
23,8,673058000,191575,vgg19,16,43296000,10000,226,82,88,60,1
24,8,673340000,1716,vgg19,16,388000,4000,226,82,88,60,1
25,32,674521000,146252,vgg19,16,52066000,36000,356,89,79,141,0
26,32,674545000,323620,gpt2,4,166341000,8000,514,0.7,414,216,1
27,8,680146000,3704,shufflenet_v2_x1_0,128,3545000,78000,957,769,57,10,1
28,8,680163000,1686,shufflenet_v2_x1_0,128,1614000,17000,957,769,57,10,1
29,8,682085000,173584,vgg16,16,37147000,7000,214,82,75,66,0
30,8,682091000,247383,vgg16,16,52940000,6000,214,82,75,66,0
31,8,682097000,155292,gpt2,4,67863000,6000,437,0.6,419,49,0
32,8,682149000,1270579,vgg16,16,271904000,52000,214,82,75,66,0
33,8,682158000,109860,gpt2,4,48009000,9000,437,0.6,419,49,1
34,8,682163000,250892,vgg16,16,53691000,5000,214,82,75,66,0
35,8,682169000,183839,resnet18,128,185678000,6000,1010,784,117,77,1
36,8,682224000,236423,resnet18,128,238788000,55000,1010,784,117,77,1
37,8,682230000,93782,gpt2,4,40983000,6000,437,0.6,419,49,1
38,8,682235000,40147,resnet18,128,40549000,5000,1010,784,117,77,1
39,8,682326000,64,shufflenet_v2_x1_0,128,62000,64000,957,769,57,10,0
40,8,682364000,2654,gpt2,4,1160000,38000,437,0.6,419,49,1
41,8,682393000,213,resnet18,128,216000,29000,1010,784,117,77,1
42,8,682474000,15604,bert,4,2996000,81000,192,0.5,167,59,0
43,8,682488000,1213,bert,4,233000,14000,192,0.5,167,59,1
44,8,684464000,83,bert,4,16000,572000,192,0.5,167,59,0
45,8,686862000,4105,shufflenet_v2_x1_0,128,3929000,584000,957,769,57,10,0
46,8,686878000,716,vgg19,16,162000,16000,226,82,88,60,1
47,8,764964000,23172,vgg19,16,5237000,86000,226,82,88,60,1
48,1,773814000,7260,shufflenet_v2_x1_0,128,5794000,535000,798,706,59,0,0
49,8,838946000,4713,bert,4,905000,268000,192,0.5,167,59,0
50,8,864883000,1869,bert,4,359000,259000,192,0.5,167,59,0
51,8,895207000,201274,resnet18,128,203287000,116000,1010,784,117,77,1
52,8,927570000,2455,vgg19,16,555000,94000,226,82,88,60,0
53,8,929584000,7926,resnet18,128,8006000,17000,1010,784,117,77,1
54,32,937052000,417553,bert,4,108564000,17000,260,0.5,166,133,1
55,32,937075000,157065,vgg16,16,52774000,19000,336,87,67,131,0
