time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,real_executed_time,JCT,duration,pending_time,job_counter,promote
2167.368721823259,1,8,1534.0,1800.0020635128021,2167.368721823259,367.36665831045684,367.3666583104567,633.368721823259,281.0,266.0020635128021,1,0
4929.631317853928,0,8,0.0,0.0003008842468261719,4929.631317853928,4929.631016969681,4929.631016969681,4929.631317853928,5095.0,0.0003008842468261719,5,0
7981.567132273587,11,8,7371.0,7560.005641460419,7981.567132273587,421.56149081316835,421.56149081316863,610.567132273587,388.0,189.0056414604187,2,0
17006.461329004982,26,8,16357.0,16920.013860702515,17006.461329004982,86.44746830246731,86.44746830246665,649.461329004982,62.0,563.0138607025146,1,0
17195.81546233784,28,8,16424.0,16920.013860702515,17195.81546233784,275.8016016353249,275.80160163532605,771.8154623378396,216.0,496.01386070251465,1,0
17179.07396340804,30,8,16519.0,16920.013860702515,17179.07396340804,259.0601027055236,259.060102705522,660.0739634080383,233.0,401.01386070251465,1,0
18811.53134894371,31,8,18495.0,18720.016724586487,18811.53134894371,91.51462435722351,91.51462435722351,316.5313489437103,16.0,225.01672458648682,1,0
21466.289978465167,33,8,20909.0,21240.018887281418,21466.289978465167,226.27109118374938,226.2710911837491,557.2899784651672,162.0,331.01888728141785,1,0
42407.54773967916,4,8,6865.0,7200.004868030548,42407.54773967916,35207.54287164861,33047.53895395452,35542.54773967916,28662.0,2495.00878572464,15,0
83774.04769177437,9,8,7065.0,7200.004868030548,83774.04769177437,76574.04282374382,71534.03443331718,76709.04769177437,62371.0,5175.013258457184,9,0
86218.11612461696,10,8,7089.0,7560.005641460419,86218.11612461696,78658.11048315655,44818.09033034932,79129.11612461696,43296.0,34311.025794267654,5,0
87000.0117239822,14,8,14177.0,14400.010173797607,87000.0117239822,72600.00155018459,4199.971761928905,72823.0117239822,3545.0,68623.0399620533,4,0
87332.59820685387,15,8,14194.0,14400.010173797607,87332.59820685387,72932.58803305626,2012.5569554328918,73138.59820685387,1614.0,71126.04125142097,4,0
114011.79381510562,35,1,107845.0,108000.0526022911,114011.79381510562,6011.741212814508,6011.741212814504,6166.793815105615,5794.0,155.05260229110718,2,0
125663.40494823456,16,8,16116.0,16200.012516975403,125663.40494823456,109463.39243125916,39623.363681554794,109547.40494823456,37147.0,69924.04126667976,11,0
149693.25558384982,17,8,16122.0,16200.012516975403,149693.25558384982,133493.24306687442,56093.20913085071,133571.25558384982,52940.0,77478.04645299911,7,0
174231.81119595442,36,8,172977.0,173160.07596683502,174231.81119595442,1071.7352291193965,1071.7352291193874,1254.8111959544185,905.0,183.07596683502197,2,0
199553.02175042412,37,8,198914.0,199080.0866804123,199553.02175042412,472.935070011823,472.9350700118325,639.0217504241155,359.0,166.08668041229248,1,0
201987.21180167198,18,8,16128.0,16200.012516975403,201987.21180167198,185787.19928469657,77067.15395822524,185859.21180167198,67863.0,108792.05784344673,10,0
204308.59871087942,6,8,6964.0,7200.004868030548,204308.59871087942,197108.59384284887,194948.58992515478,197344.59871087942,206860.0,2396.00878572464,34,0
217679.30539095186,3,8,6836.0,6840.004346370697,217679.30539095186,210839.30104458117,208319.2964135387,210843.30539095186,165835.0,2524.0089774131775,35,0
220114.3802138242,8,8,7043.0,7200.004868030548,220114.3802138242,212914.37534579364,208954.36887320605,213071.3802138242,193391.0,4117.0113406181335,32,0
222574.28566861153,7,8,6990.0,7200.004868030548,222574.28566861153,215374.28080058098,212854.27624726295,215584.28566861153,206539.0,2730.009421348572,36,0
240205.62062217106,5,8,6942.0,7200.004868030548,240205.62062217106,233005.6157541405,230845.61183644642,233263.62062217106,205061.0,2418.00878572464,41,0
245240.36625280813,21,8,16194.0,16200.012516975403,245240.36625280813,229040.35373583273,41840.278129963444,229046.36625280813,53691.0,187206.0881228447,11,0
245768.21545267105,27,8,16395.0,16920.013860702515,245768.21545267105,228848.20159196854,1328.1085619926453,229373.21545267105,1160.0,228045.1068906784,4,0
248120.53402045858,29,8,16505.0,16920.013860702515,248120.53402045858,231200.52015975607,3320.4265377868305,231615.53402045858,2996.0,228295.10748267174,4,0
251089.70220229842,20,8,16189.0,16200.012516975403,251089.70220229842,234889.689685323,49849.61532805183,234900.70220229842,48009.0,185051.0868742466,15,0
251684.38253941535,32,8,20893.0,21240.018887281418,251684.38253941535,230444.36365213394,4364.273354434967,230791.38253941535,3929.0,226427.1091849804,5,0
255784.18212905363,34,8,98995.0,99000.04811573029,255784.18212905363,156784.13401332335,5584.071082739397,156789.18212905363,5237.0,151205.11104631424,4,0
262424.28357918916,39,8,261601.0,261720.11883425713,262424.28357918916,704.1647449320299,704.1647449320012,823.2835791891557,555.0,119.11883425712585,1,0
267287.5774187608,24,8,16261.0,16920.013860702515,267287.5774187608,250367.5635580583,44447.47955532507,251026.5774187608,40983.0,206579.09786343575,17,0
273129.90926167317,44,8,271995.0,272160.1262049675,273129.90926167317,969.7830567056662,969.7830567056483,1134.909261673165,849.0,165.12620496749878,2,0
273747.3936802257,40,8,263615.0,263880.1207165718,273747.3936802257,9867.2729636539,9147.27199925076,10132.393680225709,8006.0,985.1216809749603,7,0
274836.1573807673,45,1,274404.0,274680.1289803982,274836.1573807673,156.02840036910493,156.02840036912397,432.15738076728303,132.0,276.1289803981781,1,0
275464.12411904335,46,1,275116.0,275400.1301224232,275464.12411904335,63.99399662017822,63.99399662017822,348.1241190433502,44.0,284.130122423172,1,0
275826.51361371385,47,1,275456.0,275760.1306784153,275826.51361371385,66.38293529854855,66.38293529857289,370.513613713847,53.0,304.13067841529846,1,0
