time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,real_executed_time,JCT,duration,pending_time,job_counter,promote
2130.5323640736665,1,8,1534.0,1800.0011222362518,2130.5323640736665,330.53124183741465,330.53124183741465,596.5323640736665,281.0,266.00112223625183,1,0
4869.181454298713,0,8,0.0,0.0002586841583251953,4869.181454298713,4869.181195614555,4869.181195614555,4869.181454298713,5095.0,0.0002586841583251953,3,0
7955.674460801211,11,8,7371.0,7560.004436969757,7955.674460801211,395.6700238314543,395.6700238314543,584.6744608012114,388.0,189.00443696975708,1,0
16676.080117583275,26,8,16357.0,16560.010147333145,16676.080117583275,116.0699702501297,116.0699702501297,319.08011758327484,62.0,203.01014733314514,1,0
17017.50250685215,28,8,16424.0,16560.010147333145,17017.50250685215,457.4923595190048,457.4923595190048,593.50250685215,216.0,136.01014733314514,2,0
17034.021092891693,30,8,16519.0,16560.010147333145,17034.021092891693,474.010945558548,474.010945558548,515.0210928916931,233.0,41.01014733314514,2,0
17731.773826360703,15,8,14194.0,14400.008298158646,17731.773826360703,3331.765528202057,3331.765528202057,3537.7738263607025,1614.0,206.00829815864563,5,0
18335.143197774887,27,8,16395.0,16560.010147333145,18335.143197774887,1775.133050441742,1775.133050441742,1940.143197774887,1160.0,165.01014733314514,4,0
18822.047986392976,31,8,18495.0,18720.013549804688,18822.047986392976,102.03443658828837,102.03443658828837,327.0479863929759,16.0,225.0135498046875,1,0
20670.61920750618,29,8,16505.0,16560.010147333145,20670.61920750618,4110.609060173036,4110.609060173036,4165.619207506181,2996.0,55.01014733314514,7,0
21504.687203712463,33,8,20909.0,21240.01639342308,21504.687203712463,264.67081028938264,264.67081028938264,595.6872037124631,162.0,331.01639342308044,1,0
21807.07902858257,14,8,14177.0,14400.008298158646,21807.07902858257,7407.070730423926,7407.070730423926,7630.0790285825715,3545.0,223.00829815864563,12,0
27381.032318878173,32,8,20893.0,21240.01639342308,27381.032318878173,6141.015925455093,6141.015925455093,6488.032318878173,3929.0,347.01639342308044,3,0
68152.71815941334,4,8,6865.0,7200.003872156143,68152.71815941334,60952.7142872572,60952.7142872572,61287.71815941334,28662.0,335.0038721561432,18,0
71230.87896490097,16,8,16116.0,16200.00948190689,71230.87896490097,55030.86948299408,55030.86948299408,55114.87896490097,37147.0,84.00948190689087,14,0
77689.2739151001,25,8,16266.0,16560.010147333145,77689.2739151001,61129.263767766955,61129.263767766955,61423.2739151001,40549.0,294.01014733314514,14,0
78655.94028055668,24,8,16261.0,16560.010147333145,78655.94028055668,62095.93013322353,62095.93013322353,62394.94028055668,40983.0,299.01014733314514,15,0
86695.74848723412,10,8,7089.0,7200.003872156143,86695.74848723412,79495.74461507797,79495.74461507797,79606.74848723412,43296.0,111.00387215614319,22,0
92446.42708979607,17,8,16122.0,16200.00948190689,92446.42708979607,76246.41760788918,76246.41760788918,76324.42708979607,52940.0,78.00948190689087,18,0
105004.06341246604,34,8,98995.0,99000.05237174034,105004.06341246604,6004.011040725702,6004.011040725702,6009.063412466043,5237.0,5.0523717403411865,1,0
110777.62801821232,20,8,16189.0,16200.00948190689,110777.62801821232,94577.61853630542,94577.61853630542,94588.62801821232,48009.0,11.00948190689087,22,0
114060.83908003027,35,1,107845.0,108000.0568830967,114060.83908003027,6060.782196933578,6060.782196933578,6215.839080030273,5794.0,155.05688309669495,2,0
140490.9927062416,12,32,8552.0,8640.005779981613,140490.9927062416,131850.98692626,126810.98042768479,131938.9927062416,52066.0,5128.012278556824,17,0
154632.56405463218,9,8,7065.0,7200.003872156143,154632.56405463218,147432.56018247604,147432.56018247604,147567.56405463218,62371.0,135.0038721561432,30,0
172693.0157386875,18,8,16128.0,16200.00948190689,172693.0157386875,156493.00625678062,156493.00625678062,156565.0157386875,67863.0,72.00948190689087,26,0
174514.3036335945,36,8,172977.0,173160.08450698853,174514.3036335945,1354.2191266059817,1354.2191266059817,1537.3036335945071,905.0,183.0845069885254,1,0
199715.22667769433,37,8,198914.0,199080.09541273117,199715.22667769433,635.1312649631582,635.1312649631582,801.2266776943288,359.0,166.09541273117065,1,0
214728.03773474693,13,32,8576.0,8640.005779981613,214728.03773474693,206088.03195476532,201048.0254561901,206152.03773474693,166341.0,5104.012278556824,24,0
227034.244393692,21,8,16194.0,16200.00948190689,227034.244393692,210834.2349117851,210834.2349117851,210840.244393692,53691.0,6.009481906890869,32,0
249092.738873806,22,8,16200.0,16200.00948190689,249092.738873806,232892.7293918991,232892.7293918991,232892.738873806,185678.0,0.00948190689086914,34,0
249385.656089579,8,8,7043.0,7200.003872156143,249385.656089579,242185.65221742284,242185.65221742284,242342.656089579,193391.0,157.0038721561432,40,0
262665.9329300022,39,8,261601.0,261720.12216973305,262665.9329300022,945.8107602691744,945.8107602691744,1064.9329300022218,555.0,119.12216973304749,1,0
273176.88335728645,44,8,271995.0,272160.128077507,273176.88335728645,1016.7552797794342,1016.7552797794342,1181.8833572864532,849.0,165.12807750701904,1,0
274830.59426254797,45,1,274404.0,274680.129860878,274830.59426254797,150.4644016699749,150.4644016699749,426.5942625479656,132.0,276.1298608779907,1,0
275458.40399952803,46,1,275116.0,275400.1308710575,275458.40399952803,58.27312847052235,58.27312847052235,342.4039995280327,44.0,284.1308710575104,1,0
275826.9442223679,47,1,275456.0,275760.13138890266,275826.9442223679,66.81283346522832,66.81283346522832,370.9442223678925,53.0,304.1313889026642,1,0
276761.9131394386,48,1,276306.0,276480.13237810135,276761.9131394386,281.780761337257,281.780761337257,455.91313943860587,257.0,174.13237810134888,1,0
278930.0715086937,49,1,277329.0,277560.133589983,278930.0715086937,1369.937918710697,1369.937918710697,1601.0715086936834,1659.0,231.13358998298645,2,0
278732.2332943223,50,4,278218.0,278280.1343071461,278732.2332943223,452.09898717619944,452.09898717619944,514.2332943222718,449.0,62.13430714607239,1,0
279771.14578922273,51,1,278883.0,279000.13509345055,279771.14578922273,771.0106957721873,771.0106957721873,888.1457892227336,660.0,117.13509345054626,1,0
279881.4759873997,53,4,278991.0,279000.13509345055,279881.4759873997,881.3408939491492,881.3408939491492,890.4759873996954,828.0,9.135093450546265,1,0
280350.7758382667,52,1,278981.0,279000.13509345055,280350.7758382667,1350.6407448161626,1350.6407448161626,1369.775838266709,831.0,19.135093450546265,2,0
284803.62672485004,54,4,284538.0,284760.13868904114,284803.62672485004,43.48803580889944,43.48803580889944,265.62672485003714,32.0,222.1386890411377,1,0
285228.5312834978,40,8,263615.0,263880.12392020226,285228.5312834978,21348.407363295555,21348.407363295555,21613.53128349781,8006.0,265.12392020225525,18,0
285296.92670759285,55,4,285073.0,285120.13924479485,285296.92670759285,176.78746279800544,176.78746279800544,223.92670759285102,155.0,47.13924479484558,1,0
285950.15001269686,56,4,285426.0,285480.13978767395,285950.15001269686,470.01022502291016,470.01022502291016,524.1500126968604,459.0,54.139787673950195,1,0
307465.11244983674,3,8,6836.0,6840.00336265564,307465.11244983674,300625.1090871811,300625.1090871811,300629.11244983674,165835.0,4.003362655639648,65,0
320348.94548048975,7,8,6990.0,7200.003872156143,320348.94548048975,313148.9416083336,313148.9416083336,313358.94548048975,206539.0,210.0038721561432,65,0
359012.2111061096,23,8,16255.0,16560.010147333145,359012.2111061096,342452.20095877646,295652.18102960585,342757.2111061096,238788.0,47105.030076503754,57,0
388053.54036860465,42,32,271106.0,271440.1273674965,388053.54036860465,116613.41300110816,116613.41300110816,116947.54036860465,52774.0,334.1273674964905,23,0
408623.992624197,19,8,16180.0,16560.010147333145,408623.992624197,392063.98247686384,333023.9564544296,392443.992624197,271904.0,59420.03616976738,56,0
409530.8097610378,2,8,6812.0,6840.00336265564,409530.8097610378,402690.8063983822,352650.78419231414,402718.8097610378,255697.0,50068.02556872368,65,0
411418.02816762927,6,8,6964.0,7200.003872156143,411418.02816762927,404218.0242954731,404218.0242954731,404454.02816762927,206860.0,236.0038721561432,70,0
483649.4778169918,38,8,229238.0,229320.10871863365,483649.4778169918,254329.36909835815,254329.36909835815,254411.4778169918,203287.0,82.10871863365173,33,0
